pais_id;nom_pais;sag;nom_provincia;departamento;link;cant_acopi;cap_menos2;cap_2a5;cap_5a10;cap_mas10;codset
32;Argentina;Gestion de la Informacion de la SCCA;CORDOBA;RIO PRIMERO;14105;30;15;6;4;2;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN JUAN;ULLUM;70112;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CORDOBA;MINAS;14070;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CORDOBA;PUNILLA;14091;2;2;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SANTA FE;LAS COLONIAS;82070;60;27;9;8;9;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;LA RIOJA;GENERAL OCAMPO;46084;1;1;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SANTA FE;GARAY;82035;6;2;0;0;2;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;ENTRE RIOS;FEDERAL;30035;7;6;0;0;1;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CORDOBA;COLON;14021;47;19;7;1;1;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN JUAN;CAUCETE;70035;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN JUAN;ANGACO;70014;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN JUAN;ALBARDON;70007;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;ENTRE RIOS;CONCORDIA;30015;13;3;0;3;2;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SANTA FE;LA CAPITAL;82063;47;25;6;4;8;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;LA RIOJA;GENERAL SAN MARTIN;46091;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CORDOBA;POCHO;14077;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN JUAN;ZONDA;70133;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CORDOBA;CAPITAL;14014;103;62;21;2;4;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;ENTRE RIOS;PARANA;30084;150;65;21;8;12;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CORDOBA;RIO SEGUNDO;14119;158;66;30;13;25;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CORDOBA;SANTA MARIA;14147;35;11;13;4;1;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CORDOBA;SAN ALBERTO;14126;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;ENTRE RIOS;VILLAGUAY;30113;18;10;3;0;2;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;ENTRE RIOS;SAN SALVADOR;30088;37;22;0;6;4;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN JUAN;SAN MARTIN;70091;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN JUAN;CHIMBAS;70042;1;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN JUAN;RIVADAVIA;70084;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN JUAN;SANTA LUCIA;70098;1;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN JUAN;CAPITAL;70028;9;6;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN JUAN;9 DE JULIO;70063;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN JUAN;RAWSON;70077;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN JUAN;POCITO;70070;3;2;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN JUAN;25 DE MAYO;70126;2;2;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CORDOBA;CALAMUCHITA;14007;6;1;1;0;2;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN JUAN;SARMIENTO;70105;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN LUIS;AYACUCHO;74007;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CORDOBA;SAN JAVIER;14133;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN LUIS;JUNIN;74049;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SANTA FE;SAN JERONIMO;82105;32;12;6;4;5;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;ENTRE RIOS;COLON;30008;20;4;4;1;9;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;ENTRE RIOS;DIAMANTE;30021;51;28;3;4;8;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CORDOBA;TERCERO ARRIBA;14161;105;38;34;7;7;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;ENTRE RIOS;NOGOYA;30077;29;9;6;2;7;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;MENDOZA;LAS HERAS;50049;5;5;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;MENDOZA;LAVALLE;50056;1;1;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;ENTRE RIOS;TALA;30091;21;6;3;4;6;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CORDOBA;MARCOS JUAREZ;14063;124;38;25;16;22;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;ENTRE RIOS;URUGUAY;30098;28;10;2;0;12;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN LUIS;LIBERTADOR GENERAL SAN MARTIN;74063;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CORDOBA;RIO CUARTO;14098;165;62;32;18;24;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;ENTRE RIOS;VICTORIA;30105;7;3;1;0;3;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SANTA FE;BELGRANO;82007;28;13;2;4;7;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN LUIS;CHACABUCO;74028;3;1;0;2;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN LUIS;BELGRANO;74014;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SANTA FE;IRIONDO;82056;51;26;10;7;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SANTA FE;SAN LORENZO;82119;72;27;6;8;19;1,03E+25
